Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at,797,P,415,P,483,P,383,P,580,P,152,P,778,P,1680,P,629,P,808,P,524,P,370,P,2821,P,404,P,152,P,659,P,752,P,495,P,503,P,433,P,1474,P,412,P,751,P,606,P,266,P,1490,P,599,P,378,P,372,P,723,P,1378,P,720,P,647,P,202,P,423,P,295,P,532,P,3992,P,"
"
AFFX-HUMGAPDH/M33197_5_at (endogenous control),AFFX-HUMGAPDH/M33197_5_at,15076,P,14920,P,14653,P,11605,P,8183,P,19282,P,11065,P,17426,P,10816,P,16566,P,19483,P,12505,P,12697,P,188,M,13829,P,11329,P,19428,P,6481,P,9804,P,19448,P,27401,P,25771,P,19925,P,27933,P,25449,P,16323,P,16868,P,17671,P,10695,P,26558,P,25627,P,21588,P,19349,P,14708,P,24670,P,20573,P,15493,P,23644,P,"
"
AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at,17782,P,17633,P,17384,P,20355,P,10640,P,25787,P,11898,P,16658,P,17587,P,15983,P,20256,P,18935,P,15574,P,5325,P,17804,P,16402,P,20345,P,16131,P,15098,P,18112,P,22998,P,30481,P,18311,P,23497,P,21744,P,18540,P,25412,P,19470,P,16357,P,23930,P,20245,P,21514,P,17843,P,19264,P,18324,P,20904,P,15188,P,19102,P,"
"
AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at,15774,P,14245,P,18323,P,18105,P,16882,P,17559,P,17520,P,15027,P,17845,P,16599,P,21277,P,13839,P,15423,P,17866,P,10549,P,17002,P,15189,P,19027,P,20130,P,16959,P,18279,P,25364,P,15688,P,19635,P,16239,P,15493,P,18016,P,15541,P,18959,P,18139,P,14430,P,14252,P,14593,P,9530,P,16202,P,19256,P,16764,P,14849,P,"
"
"mRNA, clone RES4-22A",AB000460_at,1647,P,2128,P,1608,P,1784,P,2911,P,1438,P,2256,P,1770,P,1732,P,3170,P,1288,P,1515,P,2701,P,1405,P,1839,P,2270,P,1403,P,1479,P,2324,P,2043,P,1996,P,1354,P,2116,P,1408,P,2116,P,1772,P,1435,P,2413,P,1632,P,1971,P,2043,P,1825,P,2175,P,976,P,1767,P,1939,P,1461,P,2816,P,"
"
Proteasome subunit p44.5,AB003102_at,551,P,654,P,756,P,467,P,1014,P,304,P,881,P,925,P,480,P,1159,P,583,P,348,P,1235,P,326,P,541,P,791,P,387,P,366,P,627,P,739,P,884,P,769,P,842,P,439,P,1368,P,704,P,534,P,698,P,372,P,807,P,1145,P,618,P,586,P,467,P,683,P,750,P,600,P,742,P,"
"
Proteasome subunit p27,AB003177_at,588,P,652,P,999,P,764,P,614,P,196,P,637,P,609,P,647,P,610,P,342,P,278,P,1296,P,442,P,500,P,1043,P,364,P,603,P,858,P,781,P,1044,P,576,P,1321,P,494,P,1168,P,728,P,415,P,628,P,637,P,781,P,965,P,598,P,517,P,635,P,857,P,561,P,296,P,789,P,"
"
"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence",AC002115_cds1_at,2236,P,3083,P,3569,P,2478,P,2905,P,3397,P,2711,P,4572,P,3307,P,5052,P,2585,P,2288,P,7632,P,1310,P,2063,P,3440,P,3634,P,3335,P,2959,P,5198,P,4261,P,2832,P,4692,P,3192,P,3621,P,3055,P,2557,P,3767,P,2269,P,4238,P,3274,P,3246,P,3000,P,3393,P,5940,P,2919,P,1733,P,2319,P,"
"
"Dolichol monophosphate mannose synthase (DPM1) mRNA, partial cds",AF007875_at,260,P,361,P,389,P,283,P,203,P,201,P,544,P,461,P,373,P,257,P,269,P,264,P,1156,P,778,P,186,P,600,P,156,P,127,P,292,P,362,P,400,P,156,P,310,P,265,P,309,P,282,P,156,P,209,P,108,P,262,P,300,P,268,P,279,P,310,P,441,P,275,P,156,P,228,P,"
"
PROTEASOME COMPONENT C8,D00762_at,645,P,770,P,1202,P,677,P,337,P,334,P,1097,P,857,P,622,P,454,P,654,P,472,P,1693,P,590,P,286,P,1072,P,242,P,240,P,574,P,782,P,1119,P,444,P,688,P,570,P,802,P,685,P,371,P,419,P,331,P,521,P,741,P,543,P,630,P,678,P,675,P,570,P,479,P,963,P,"
"
